PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
FL3350102,BONFIRE MOBILE HOME PARK,Community water system,Ground water,Lake,LEESBURG,270,3,3,23
FL1300083,"BONIFAY, CITY OF WATER DEPT.",Community water system,Ground water,Holmes,BONIFAY,4030,10,5,34
FL5360025,BONITA SPRINGS UTILITIES,Community water system,Ground water,Lee,BONITA SPRINGS,68603,34,3,76
FL6252022,"BOWLING GREEN, CITY OF",Community water system,Ground water,Hardee,BOWLING GREEN,2940,4,17,26
FL4500145,BOYNTON BEACH PWS,Community water system,Ground water,Palm Beach,BOYNTON BEACH,102512,35,23,57
FL6410182,BRADENTON CITY OF,Community water system,Surface water,Manatee,BRADENTON,54409,3,3,20
FL1370393,BRADFORDVILLE REGIONAL W/S,Community water system,Ground water,Leon,QUINCY,10641,9,22,24
FL6535304,"BRADLEY JUNCTION, TOWN OF",Community water system,Ground water,Polk,BRADLEY,1260,4,2,25
FL2124372,BRANDON-BRENT WTP,Community water system,Ground water,Columbia,LAKE CITY,240,3,12,19
FL2610109,BRANFORD WTP,Community water system,Ground water,Suwannee,BRANFORD,700,4,33,27
FL1170085,BRATT-DAVISVILLE WATER SYSTEM,Community water system,Ground water,Escambia,WALNUT HILL,2800,9,4,29
FL3532355,BREEZE HILL MOBILE HOME PARK,Community water system,Ground water,Polk,LAKE WALES,279,2,2,31
FL3050108,BREEZEWAY TRAILER PARK,Community water system,Ground water,Brevard,SEBASTIAN,95,2,25,20
FL3354043,BRENDENWOOD WATERWORKS,Community water system,Ground water,Lake,GRAND ISLAND,130,2,10,13
FL1370898,BREWSTER SUBDIVISION,Community water system,Ground water,Leon,TALLAHASSEE,364,3,2,20
FL6530915,BRIARWOOD ESTATES,Community water system,Ground water,Polk,KATHLEEN,80,2,27,48
FL6290189,BRIARWOOD MOBILE HOME PARK,Community water system,Ground water,Hillsborough,PLANT CITY,275,2,29,39
FL3480114,BRIGHTWOOD MANOR MHP,Community water system,Ground water,Orange,APOPKA,420,3,17,18
FL1390087,"BRISTOL, CITY OF WATER SYSTEM",Community water system,Ground water,Liberty,BRISTOL,1954,10,1,22
FL3350117,BRITTANY ESTATES,Community water system,Ground water,Lake,LEESBURG,383,3,17,23
FL2381178,BRONSON WTP,Community water system,Ground water,Levy,BRONSON,1125,8,4,32
FL2040113,BROOKER WATER DEPARTMENT,Community water system,Ground water,Bradford,BROOKER,700,4,7,23
FL6254762,BROOKSIDE BLUFF RV PARK,Community water system,Ground water,Hardee,ZOLFO SPRINGS,300,4,5,25
FL6272180,BROOKSVILLE  CITY OF,Community water system,Ground water,Hernando,BROOKSVILLE,11500,9,8,28
FL1374008,BUCK LAKE ESTATES,Community water system,Ground water,Leon,TALLAHASSEE,150,2,12,20
FL3420124,BUCKSKIN LAKE MANOR,Community water system,Ground water,Marion,OCALA,242,3,9,18
FL6296320,BUD WELL #5 WTP,Community water system,Surface water purchased,Hillsborough,BRANDON,25,5,1,5
FL6296319,BUD WELL #7 WTP,Community water system,Surface water purchased,Hillsborough,VALRICO,25,2,0,5
FL2180132,BULOW PLANTATION,Community water system,Ground water,Flagler,FLAGLER BEACH,1001,7,38,26
FL6291139,BUNGALOW OAKS,Community water system,Ground water,Hillsborough,TAMPA,1344,6,23,36
FL2180134,BUNNELL WATER PLANT,Community water system,Ground water,Flagler,BUNNELL,2648,8,27,33
FL1370096,BURGESS CIRCLE SUBDIVISION,Community water system,Ground water,Leon,TALLAHASSEE,70,2,6,22
FL6296217,BURRELL DUPLEXES,Community water system,Ground water,Hillsborough,LUTZ,30,2,43,24
FL6600210,"BUSHNELL, CITY OF (2 WPS)",Community water system,Ground water,Sumter,BUSHNELL,2109,6,11,28
FL6284075,BUTTONWOOD BAY MHP,Community water system,Ground water,Highlands,SEBRING,2000,3,36,34
FL2450146,CALLAHAN WTP,Community water system,Ground water,Nassau,CALLAHAN,1587,4,20,27
FL1030141,"CALLAWAY, CITY OF WATER SYSTEM",Community water system,Surface water purchased,Bay,CALLAWAY,14800,2,5,27
FL2554166,CAMACHEE COVE YACHT HARBOR WTP,Community water system,Ground water,St. Johns,ST. AUGUSTINE,306,3,36,23
FL6584439,CAMELOT LAKES,Community water system,Ground water,Sarasota,SARASOTA,1700,6,2,90
FL6290227,CAMELOT MHP,Community water system,Ground water,Hillsborough,THONOTOSASSA,240,2,51,35
FL3050131,CAMELOT RV PARK INC,Community water system,Ground water,Brevard,MALABAR,100,4,23,18
FL2100150,CAMP BLANDING JOINT TRAINING CENTER,Community water system,Ground water,Clay,STARKE,900,8,27,41
FL6530956,CAMP INN RESORTS,Community water system,Ground water,Polk,FROSTPROOF,1500,4,51,36
FL3530240,CAMP ROSALIE,Community water system,Ground water,Polk,LAKE WALES,59,3,6,35
FL6270246,CAMP-A-WYLE LAKE RESORT,Community water system,Ground water,Hernando,WEEKI WACHEE,400,3,4,33
FL1320111,CAMPBELLTON WATER DEPARTMENT,Community water system,Ground water,Jackson,CAMPBELLTON,232,6,6,28
FL6272304,CAMPER'S HOLIDAY,Community water system,Ground water,Hernando,BROOKSVILLE,400,3,63,30
FL2120043,CANNON CREEK MHP,Community water system,Ground water,Columbia,LAKE CITY,80,2,18,30
FL5360325,"CAPE CORAL, CITY OF",Community water system,Ground water,Lee,CAPE CORAL,141913,58,3,89
FL6534918,CAREFREE RV COUNTRY CLUB,Community water system,Ground water,Polk,WINTER HAVEN,784,4,25,32
FL6512182,CARIBBEAN MOBILE HOME ESTATES,Community water system,Ground water,Pasco,NEW PORT RICHEY,124,3,12,28
FL3354655,CARLTON PALMS EDUCATIONAL CTR,Community water system,Ground water,Lake,MT DORA,145,2,17,19
FL3350152,CARLTON VILLAGE,Community water system,Ground water,Lake,LADY LAKE,474,3,9,16
FL6290256,CAROUSEL VILLAGE MHP,Community water system,Ground water,Hillsborough,TAMPA,82,2,24,38
FL1190118,"CARRABELLE, CITY OF WATER SYS.",Community water system,Ground water,Franklin,CARRABELLE,2500,5,46,22
FL1670119,"CARYVILLE, TOWN OF",Community water system,Ground water,Washington,CARYVILLE,438,6,7,30
FL6290430,CASA VERDE MANUFACTURED HOME COMMUNITY,Community water system,Ground water,Hillsborough,TAMPA,1250,4,18,47
FL6294552,CASITA BELLA,Community water system,Ground water,Hillsborough,TAMPA,32,2,16,36
FL3590159,"CASSELBERRY, CITY OF (3 WPS)",Community water system,Ground water,Seminole,CASSELBERRY,54747,13,26,20
FL6090267,CASTLE LAKE PARK,Community water system,Ground water,Citrus,FLORAL CITY,196,4,23,33
FL6291018,CAX-LAKESHORE LLC,Community water system,Ground water,Hillsborough,TAMPA,590,5,19,45
FL5114085,CCWSD - NORTHEAST UTILITIES,Community water system,Ground water,Collier,NAPLES,875,5,14,34
FL3420162,CEDAR HILLS,Community water system,Ground water,Marion,OCALA,1404,4,11,20
FL2380178,CEDAR KEY WTP,Community water system,Ground water,Levy,CEDAR KEY,1500,5,30,27
FL6092326,CEDAR LAKE ESTATES,Community water system,Ground water,Citrus,CRYSTAL RIVER,85,2,8,32
FL6600316,CENTER HILL WATER DEPT-CITY OF,Community water system,Ground water,Sumter,CENTER HILL,762,5,8,34
FL6534609,CENTRAL,Community water system,Ground water,Polk,WINTER HAVEN,13595,11,20,30
FL6535026,CENTRAL LEISURE LAKE MHP ; RV,Community water system,Ground water,Polk,AUBURNDALE,194,2,5,29
FL6605038,CENTRAL SUMTER UTILITY,Community water system,Ground water,Sumter,THE VILLAGES,19699,3,0,5
FL1170126,"CENTRAL WATER WORKS, INC.",Community water system,Ground water,Escambia,CENTURY,2512,7,5,32
FL3354027,CENTURY ESTATES UTILITIES INC.,Community water system,Ground water,Lake,LEESBURG,343,3,33,21
FL1170613,"CENTURY, TOWN OF",Community water system,Ground water,Escambia,CENTURY,4056,6,5,34
FL6290276,CHALET VILLAGE MHP,Community water system,Ground water,Hillsborough,TAMPA,128,2,24,36
FL6531222,CHAPMAN'S M.H.P.,Community water system,Ground water,Polk,LAKELAND,180,5,16,40
FL3424029,CHAPPELL HILLS,Community water system,Ground water,Marion,OCALA,144,2,4,17
FL5364068,CHARLESTON PARK,Community water system,Ground water,Lee,ALVA,312,5,9,64
