"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"ME0024649","POLAND MINING CAMPS","Transient non-community system","Ground water","Androscoggin","POLAND","25","4","1","4"
"ME0012685","POLAND SPRING CAMPGROUND","Transient non-community system","Ground water","Androscoggin","POLAND","330","5","4","10"
"ME0094838","POPLAR STREAM FALLS HUT","Transient non-community system","Ground water","Franklin","CARRABASSETT VL","45","5","2","3"
"ME0007734","POTTERS PLACE ADULT PARK","Transient non-community system","Ground water","York","LEBANON","145","4","5","9"
"ME0107734","POTTERS PLACE ADULT PARK 2","Transient non-community system","Ground water","York","LEBANON","128","3","11","3"
"ME0094601","POWDER RIDGE TOWNHOMES","Transient non-community system","Ground water","Oxford","NEWRY","40","9","4","6"
"ME0094510","POWNAL CENTER WATER ASSN","Transient non-community system","Ground water","Cumberland","POWNAL","25","5","31","7"
"ME0006186","PRESQUE ISLE COUNTRY CLUB","Transient non-community system","Ground water","Aroostook","PRESQUE ISLE","300","6","17","22"
"ME0004249","PRISCILLAS DINER","Transient non-community system","Ground water","Kennebec","WINDSOR","115","7","29","27"
"ME0001048","PROSPECT HILL GOLF COURSE","Transient non-community system","Ground water","Androscoggin","AUBURN","150","5","29","12"
"ME0005719","PROVINCE LAKE GOLF ENTERPRISES INC","Transient non-community system","Ground water","York","PARSONSFIELD","300","4","19","7"
"ME0025993","PUMPKIN PATCH RV RESORT","Transient non-community system","Ground water","Penobscot","HERMON","150","8","6","17"
"ME0002008","PUNKIN VALLEY RESTAURANT","Transient non-community system","Ground water","Cumberland","BRIDGTON","445","4","78","14"
"ME0005633","PUSHAW LAKE CAMPGROUND","Transient non-community system","Ground water","Penobscot","ORONO","298","6","20","36"
"ME0018564","QUIETSIDE CAMPGROUND & CABINS","Transient non-community system","Ground water","Hancock","TREMONT","82","7","27","10"
"ME0008139","QUISISANA","Transient non-community system","Ground water","Oxford","LOVELL","218","9","2","10"
"ME0094505","R & R VACATION HOME PARK","Transient non-community system","Ground water","Cumberland","NAPLES","40","5","10","17"
"ME0012510","RANGE POND CAMPGROUND","Transient non-community system","Ground water","Androscoggin","POLAND","288","4","2","6"
"ME0006248","RANGELEY MANOR COTTAGE ASSOCIATION","Transient non-community system","Ground water","Franklin","RANGELEY","70","8","19","13"
"ME0092391","RAPPUTAK HOMESITE OWNERS ASSOC","Transient non-community system","Ground water","Oxford","FRYEBURG","28","6","5","3"
"ME0024768","RAYMONDS VARIETY & DINER","Transient non-community system","Ground water","Penobscot","LEE","150","4","154","20"
"ME0007020","RECOMPENCE SHORE CAMPGROUNDS","Transient non-community system","Ground water","Cumberland","FREEPORT","250","4","29","17"
"ME0107020","RECOMPENCE SHORE- WEST BAY","Transient non-community system","Ground water","Cumberland","FREEPORT","138","3","14","2"
"ME0094689","RECOMPENCE SHORE- WOLFES NECK FARM","Transient non-community system","Ground water","Cumberland","FREEPORT","185","4","39","17"
"ME0207020","RECOMPENCE SHORE-EAST BAY","Transient non-community system","Ground water","Cumberland","FREEPORT","200","4","14","1"
"ME0009929","RED APPLE CAMPGROUND","Transient non-community system","Ground water","York","ARUNDEL","350","8","13","17"
"ME0007370","RED BARN DINER","Transient non-community system","Ground water","Penobscot","HOLDEN","54","4","6","10"
"ME0092324","RED HOUSE FARM VILLAGE CONDO ASSOCIATION","Transient non-community system","Ground water","Oxford","NEWRY","53","6","2","16"
"ME0006326","REDCLYFFE MOTEL & RESTAURANT","Transient non-community system","Ground water","Washington","ROBBINSTON","126","5","7","9"
"ME0007974","RENDEZVOUS RESTAURANT","Transient non-community system","Ground water","Aroostook","LIMESTONE","210","5","150","23"
"ME0008392","REUNION STATION  RESTAURANT","Transient non-community system","Ground water","Lincoln","DAMARISCOTTA","216","5","30","15"
"ME0095018","RHYMES AND REASONS EARLY LEARNING CENTER","Transient non-community system","Ground water","Androscoggin","GREENE","29","4","27","3"
"ME0003939","RICHARDS SEAFOOD RESTAURANT","Transient non-community system","Ground water","York","WELLS","222","4","10","5"
"ME0094969","RICHMOND RETAIL PLAZA","Transient non-community system","Ground water","Sagadahoc","RICHMOND","148","4","6","6"
"ME0017518","RICKS CAFE","Transient non-community system","Ground water","Cumberland","NAPLES","300","4","42","12"
"ME0004175","RIDEOUTS LODGE AND COTTAGES","Transient non-community system","Ground water","Aroostook","WESTON","60","5","12","12"
"ME0007711","RIDGE TOP RESTAURANT","Transient non-community system","Ground water","Waldo","KNOX","225","6","39","19"
"ME0094842","RIPPLEFFECT, INC- COW ISLAND","Transient non-community system","Ground water","Cumberland","LONG ISLAND","159","5","9","7"
"ME0018898","RIVER RUN CAMPGROUND","Transient non-community system","Ground water","Oxford","BROWNFIELD","55","5","1","7"
"ME0118898","RIVER RUN CAMPGROUND-SHOWER","Transient non-community system","Ground water","Oxford","BROWNFIELD","25","3","0","2"
"ME0001686","RIVER VIEW RESORT","Transient non-community system","Ground water","Oxford","BETHEL","64","6","14","20"
"ME0007744","RIVERBEND CAMPGROUND","Transient non-community system","Ground water","Androscoggin","LEEDS","250","7","2","5"
"ME0092290","RIVERBEND CONDOMINIUMS","Transient non-community system","Ground water","Oxford","BETHEL","150","4","1","5"
"ME0094938","RIVERDRIVERS WHITEWATER RAFTING","Transient non-community system","Ground water","Somerset","THE FORKS PLT","35","4","10","9"
"ME0022977","ROBINHOOD FREE MEETINGHOUSE","Transient non-community system","Ground water","Sagadahoc","GEORGETOWN","150","4","21","4"
"ME0091800","ROCK POND CONDOS AT SADDLEBACK","Transient non-community system","Ground water","Franklin","RANGELEY","260","8","15","25"
"ME0026339","ROCKWOOD BAR & GRILL","Transient non-community system","Ground water","Somerset","ROCKWOOD STRIP","108","7","57","35"
