"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"AZ0407049","RIVERSIDE FOODS","Transient non-community system","Ground water","Maricopa","NEW RIVER","75","4","4","12"
"AZ0420129","RIVERSIDE SUITES","Transient non-community system","Ground water","Pima","TUCSON","100","5","94","20"
"AZ0407674","ROADRUNNER STEAKHOUSE SALOON","Transient non-community system","Ground water","Maricopa","NEW RIVER","200","3","17","24"
"AZ0404074","ROCK HOUSE GROCERY TP","Transient non-community system","Ground water","Gila","ROOSEVELT","40","4","34","13"
"AZ0413364","ROCK SPRING CAFE","Transient non-community system","Ground water","Yavapai","ROCK SPRINGS","25","9","8","9"
"AZ0404078","ROGERS RV PARK","Transient non-community system","Ground water","Gila","PUNKIN CENTER","64","3","58","9"
"AZ0407377","ROLLIN HOGAN RV PARK","Transient non-community system","Ground water","Maricopa","WICKENBURG","25","3","27","20"
"AZ0403089","ROUTE 66 ROADHOUSE","Transient non-community system","Ground water","Coconino","BELLEMONT","50","4","30","7"
"AZ0404359","RYE TRAILER PARK","Transient non-community system","Ground water","Gila","PAYSON","70","6","39","14"
"AZ0407431","SADDLE MOUNTAIN RV PARK","Transient non-community system","Ground water","Maricopa","TONOPAH","357","6","49","22"
"AZ0407600","SAGUARO HOT MINERAL WELLS MOTEL","Transient non-community system","Ground water","Maricopa","TONOPAH","26","3","3","20"
"AZ0407657","SAGUARO LAKE MARINA","Transient non-community system","Surface water","Maricopa","SAGUARO LAKE","450","6","71","25"
"AZ0407210","SAGUARO LAKE RANCH","Transient non-community system","Ground water","Maricopa","MESA","30","5","0","5"
"AZ0410703","SAGUARO NATIONAL PARK","Transient non-community system","Ground water","Pima","TUCSON","1,440","7","12","12"
"AZ0411142","SAN TAN MOUNTAIN REGIONAL PARK","Transient non-community system","Ground water","Pinal","QUEEN CREEK","150","5","1","1"
"AZ0407906","SAN TAN TRANSFER STATION","Transient non-community system","Ground water","Maricopa","QUEEN CREEK","25","4","9","4"
"AZ0412028","SANTA CRUZ COUNTY FAIRGROUNDS","Transient non-community system","Ground water","Santa Cruz","SONOITA","297","3","34","17"
"AZ0413158","SEDONA MAGO RETREAT","Transient non-community system","Ground water","Yavapai","SEDONA","100","8","16","7"
