"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"NH1032070","COACH RUN CONDOS","Community water system","Ground water","Rockingham","HAMPSTEAD","60","3","9","5"
"NH0342100","COACHMAN CONDOS","Community water system","Ground water","Grafton","CAMPTON","50","2","24","7"
"NH1121010","COGSWELL SPRINGS WATER WORKS","Community water system","Ground water","Merrimack","HENNIKER","2,500","5","10","6"
"NH0773020","COLBY BROOK ESTATES","Community water system","Ground water","Merrimack","EPSOM","68","5","39","14"
"NH0582010","COLBY POND","Community water system","Ground water","Rockingham","DANVILLE","393","3","61","5"
"NH0481010","COLEBROOK WATER WORKS","Community water system","Ground water","Coos","COLEBROOK","1,200","8","63","9"
"NH2452040","COLLINS LANDING","Community water system","Ground water","Hillsborough","WEARE","180","5","7","9"
"NH0874020","COLONIAL POPLIN NURSING HOME","Community water system","Ground water","Rockingham","FREMONT","78","2","111","5"
"NH0112060","COMMONS OF ATKINSON","Community water system","Ground water","Rockingham","ATKINSON","95","3","3","5"
"NH0501010","CONCORD WATER DEPT","Community water system","Surface water","Merrimack","CONCORD","44,000","13","1","15"
"NH2342100","CONE RIDGE APTS","Community water system","Ground water","Grafton","THORNTON","30","1","13","7"
"NH0413020","CONNECTICUT RIVER MHP","Community water system","Ground water","Sullivan","CHARLESTOWN","50","2","59","7"
"NH0072090","CONNOR COURT","Community water system","Ground water","Hillsborough","AMHERST","25","3","0","1"
"NH1191010","CONTOOCOOK VILLAGE PCT","Community water system","Surface water","Merrimack","HOPKINTON","1,600","2","6","3"
"NH0511010","CONWAY VILLAGE FIRE DIST","Community water system","Ground water","Carroll","CONWAY","2,665","5","70","11"
"NH1272050","COOPERS GROVE","Community water system","Ground water","Rockingham","KINGSTON","42","3","0","3"
"NH2194010","COOS COUNTY FARM","Community water system","Ground water","Coos","STEWARTSTOWN","228","5","120","10"
"NH1672020","COPPLE CROWN VILLAGE DISTRICT","Community water system","Ground water","Strafford","NEW DURHAM","80","4","59","23"
"NH2082060","CORNERSTONE ESTATES","Community water system","Ground water","Rockingham","SANDOWN","202","3","0","5"
"NH0594010","CORNERSTONE PLACE","Community water system","Ground water","Rockingham","DEERFIELD","27","4","54","7"
"NH0262040","COTTAGES AT WINDCHIMES","Community water system","Ground water","Merrimack","BOW","75","3","5","16"
"NH0583030","COTTON FARMS MHP","Community water system","Ground water","Rockingham","DANVILLE","390","11","18","13"
"NH0702040","COUNTRY HILLS OF EAST KINGSTON","Community water system","Ground water","Rockingham","EAST KINGSTON","93","7","63","5"
"NH0363010","COUNTRY LANE MANOR","Community water system","Ground water","Rockingham","CANDIA","85","4","11","6"
"NH2353040","COUNTRY MEADOWS","Community water system","Ground water","Belknap","TILTON","90","2","58","6"
"NH2001020","COUNTRY RIDGE MOBILE HOME PARK","Community water system","Ground water","Strafford","ROCHESTER","25","1","2","7"
"NH0353010","COUNTRY VILLAGE MHP","Community water system","Ground water","Grafton","CANAAN","66","2","2","4"
"NH0882170","COUNTRY VILLAGE WAY","Community water system","Ground water","Belknap","GILFORD","100","1","2","7"
"NH0162160","COW HILL WELLHOUSE","Community water system","Ground water","Carroll","BARTLETT","150","5","6","7"
"NH0162190","CRAWFORD HILLS","Community water system","Ground water","Carroll","BARTLETT","118","4","3","7"
"NH0162330","CRAWFORD POND","Community water system","Ground water","Carroll","BARTLETT","58","2","32","6"
"NH1932120","CROSS RIDGE ESTATES","Community water system","Ground water","Rockingham","PLAISTOW","73","2","26","5"
"NH1612260","CROSSWINDS","Community water system","Ground water","Carroll","MOULTONBOROUGH","73","2","148","7"
"NH0832010","CROTCHED MOUNTAIN MNTNC","Community water system","Ground water","Hillsborough","FRANCESTOWN","115","3","35","6"
"NH0972010","CROTCHED MOUNTAIN REHAB CENTER","Community water system","Ground water","Hillsborough","GREENFIELD","750","9","65","8"
"NH1323040","CURRIERS MHP","Community water system","Ground water","Grafton","LEBANON","24","1","40","6"
"NH0753020","DANIELS ACRES","Community water system","Ground water","Grafton","ENFIELD","136","3","28","10"
"NH1332020","DARBY FIELD COMMONS","Community water system","Ground water","Strafford","LEE","70","5","27","5"
"NH0512260","DAVIS HILL","Community water system","Ground water","Carroll","CONWAY","75","5","3","6"
"NH0112090","DEARBORN RIDGE","Community water system","Ground water","Rockingham","ATKINSON","25","2","1","10"
"NH1842060","DEER COVE WATER","Community water system","Ground water","Carroll","OSSIPEE","123","3","52","6"
"NH1553010","DEER ESTATES","Community water system","Ground water","Coos","MILAN","60","1","55","5"
"NH1193030","DEER MEADOWS","Community water system","Ground water","Merrimack","HOPKINTON","150","2","2","5"
"NH0342050","DEER RUN","Community water system","Ground water","Grafton","CAMPTON","148","5","26","6"
"NH0512150","DEERBROOK CONDOS","Community water system","Ground water","Carroll","CONWAY","80","2","3","6"
"NH0611010","DERRY WATER DEPT","Community water system","Surface water purchased","Rockingham","DERRY","17,150","1","3","6"
"NH0882190","DOCKHAM SHORES ESTATES","Community water system","Ground water","Belknap","GILFORD","150","3","126","14"
"NH0651010","DOVER WATER DEPT","Community water system","Ground water","Strafford","DOVER","28,000","24","33","18"
"NH0612150","DREW WOODS","Community water system","Surface water purchased","Rockingham","DERRY","1,313","11","4","5"
"NH1992020","DUNBAR PROPERTIES","Community water system","Ground water","Cheshire","RINDGE","40","4","7","6"
"NH2002030","DUSTIN HOMESTEAD","Community water system","Ground water","Strafford","ROCHESTER","150","6","29","6"
"NH1212130","EAGLE BROOK","Community water system","Ground water","Carroll","JACKSON","65","3","21","5"
"NH0162400","EAGLE RIDGE RESORT","Community water system","Ground water","Carroll","BARTLETT","270","8","0","6"
"NH0062010","EAGLES REST MHP","Community water system","Ground water","Belknap","ALTON","138","3","55","5"
"NH1522020","EAST BLUFF HIGHLANDS CONDOS","Community water system","Ground water","Belknap","MEREDITH","48","2","33","8"
"NH1522030","EASTBLUFF VILLAGE CONDOS","Community water system","Ground water","Belknap","MEREDITH","48","1","23","6"
"NH2302040","EASTFIELD CROSSING","Community water system","Ground water","Cheshire","SWANZEY","113","3","29","6"
"NH0512050","ECHO LAKE WOODS","Community water system","Ground water","Carroll","CONWAY","112","2","25","6"
"NH0883060","EDGE OF WOODS","Community water system","Ground water","Belknap","GILFORD","120","2","30","6"
"NH0152010","ELLISON FARM APTS","Community water system","Ground water","Strafford","BARRINGTON","45","1","62","7"
"NH1193020","ELM BROOK VILLAGE","Community water system","Ground water","Merrimack","HOPKINTON","90","3","16","8"
"NH0153060","EMERALD ACRES","Community water system","Ground water","Strafford","BARRINGTON","250","8","131","14"
"NH1141020","EMERALD LAKE","Community water system","Ground water","Hillsborough","HILLSBOROUGH","1,300","13","40","27"
"NH0751010","ENFIELD WATER DEPT","Community water system","Ground water","Grafton","ENFIELD","1,345","5","8","7"
"NH0192060","ENGLISH WOODS","Community water system","Ground water","Hillsborough","BEDFORD","50","3","0","6"
"NH0761010","EPPING WATER AND SEWER DEPT","Community water system","Ground water","Rockingham","EPPING","1,240","13","5","14"
"NH0774010","EPSOM HEALTHCARE CTR","Community water system","Ground water","Merrimack","EPSOM","226","8","4","7"
"NH0771010","EPSOM VILLAGE DIST","Community water system","Ground water","Merrimack","EPSOM","750","4","3","8"
"NH0781010","ERROL WATER WORKS/WEST","Community water system","Ground water","Coos","ERROL","195","4","270","11"
"NH0763010","EVANS TRAILER PARK","Community water system","Ground water","Rockingham","EPPING","50","2","17","8"
"NH0262010","EVERGREEN DRIVE WATER","Community water system","Ground water","Merrimack","BOW","80","5","43","8"
