PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
MN5100125,Lake Auburn Moravian Church,Transient non-community system,Ground water,Carver,-,100,3,1,9
MN5770247,Lake Beauty Covenant Bible Camp,Transient non-community system,Ground water,Todd,-,500,27,2,4
MN5040142,Lake Bemidji State Park,Transient non-community system,Ground water,Beltrami,-,900,11,1,6
MN5350172,Lake Bronson State Park,Transient non-community system,Ground water,Kittson,-,25,6,0,7
MN5210323,Lake Brophy County Park,Transient non-community system,Ground water,Douglas,-,25,3,2,10
MN5190318,Lake Byllesby Regional Park,Transient non-community system,Ground water,Dakota,-,25,3,0,7
MN5190317,Lake Byllesby Regional Park - Shop,Transient non-community system,Ground water,Dakota,-,25,3,0,9
MN5210081,Lake Carlos Bay,Transient non-community system,Ground water,Douglas,-,50,5,0,4
MN5210366,Lake Carlos State Park,Transient non-community system,Ground water,Douglas,-,350,21,3,9
MN5250026,Lake City Country Club,Transient non-community system,Ground water,Goodhue,-,25,4,0,3
MN5790004,Lake City Sportsman's Club,Transient non-community system,Ground water,Wabasha,-,25,3,0,3
MN5660722,Lake Country Convenience and Bait,Transient non-community system,Ground water,Rice,-,100,4,1,6
MN5180786,Lake Country Crafts and Cones,Transient non-community system,Ground water,Crow Wing,-,100,5,1,6
MN5180941,Lake Country Foods,Transient non-community system,Ground water,Crow Wing,-,400,4,0,6
MN5110893,Lake Country Grocery,Transient non-community system,Ground water,Cass,-,100,3,0,5
MN5210479,Lake Country Meats,Transient non-community system,Ground water,Douglas,-,75,4,0,7
MN5210057,Lake Darling Resort,Transient non-community system,Ground water,Douglas,-,56,4,0,5
MN5180332,Lake Edward Resort,Transient non-community system,Ground water,Crow Wing,-,38,5,1,6
MN5180787,Lake Emily Resort,Transient non-community system,Ground water,Crow Wing,-,80,6,0,6
MN5030080,Lake Eunice Free Evangelical Church,Transient non-community system,Ground water,Becker,-,110,3,1,8
MN5271184,Lake Fellowship Unitarian Universalist,Transient non-community system,Ground water,Hennepin,-,25,3,1,4
MN5560340,Lake Franklin Condos,Transient non-community system,Ground water,Otter Tail,-,30,6,0,8
MN5290296,Lake George Bible Chapel,Transient non-community system,Ground water,Hubbard,-,50,4,1,8
MN5290451,Lake George Cafe,Transient non-community system,Ground water,Hubbard,-,100,4,2,7
MN5290432,Lake George Community Park,Transient non-community system,Ground water,Hubbard,-,25,3,0,8
MN5290248,Lake George Pines Motel,Transient non-community system,Ground water,Hubbard,-,35,4,0,7
MN5080010,Lake Hanska County Park,Transient non-community system,Ground water,Brown,-,25,9,0,7
MN5080011,Lake Hanska Lutheran Church,Transient non-community system,Ground water,Brown,-,320,3,2,8
MN5110212,Lake Haven Acres,Transient non-community system,Ground water,Cass,-,25,15,1,5
MN5730612,Lake Henry Baseball Field,Transient non-community system,Ground water,Stearns,-,100,3,0,9
MN5730578,Lake Henry Bullpen,Transient non-community system,Ground water,Stearns,-,30,6,0,7
MN5730169,Lake Henry Implement,Transient non-community system,Ground water,Stearns,-,40,5,1,5
MN5730669,Lake Henry Lions Park,Transient non-community system,Ground water,Stearns,-,75,4,0,7
MN5470129,Lake Jennie Evangelical Covenant Church,Transient non-community system,Ground water,Meeker,-,45,3,1,6
MN5690513,Lake Leander Picnic East USFS,Transient non-community system,Ground water,St. Louis,-,25,3,0,6
MN5210121,Lake Letoka Rest Area MNDOT,Transient non-community system,Ground water,Douglas,-,1001,6,17,7
MN5560328,Lake Lizzie Shores Resort,Transient non-community system,Ground water,Otter Tail,-,150,3,2,6
MN5500092,Lake Louise State Park,Transient non-community system,Ground water,Mower,-,60,9,1,8
MN5860375,Lake Maria State Park,Transient non-community system,Ground water,Wright,-,45,12,6,9
MN5430168,Lake Marion Park,Transient non-community system,Ground water,McLeod,-,40,9,2,6
MN5430040,Lake Marion Supper Club,Transient non-community system,Ground water,McLeod,-,100,3,0,7
MN5210138,Lake Miltona Golf Club,Transient non-community system,Ground water,Douglas,-,100,7,1,5
MN5100121,Lake Minnewashta Regional Park,Transient non-community system,Ground water,Carver,-,25,20,6,10
MN5250249,Lake Pepin Campground and Trailer,Transient non-community system,Ground water,Goodhue,-,280,9,1,3
MN5790239,Lake Pepin Golf Course,Transient non-community system,Ground water,Wabasha,-,150,3,3,3
MN5250035,Lake Pepin Rest Area MNDOT,Transient non-community system,Ground water,Goodhue,-,558,4,3,8
MN5030528,Lake Region Mennonite Church,Transient non-community system,Ground water,Becker,-,40,3,0,5
MN5210513,Lake Reno Bar and Grill,Transient non-community system,Ground water,Douglas,-,40,4,0,4
MN5610062,Lake Reno Resort,Transient non-community system,Ground water,Pope,-,38,6,2,6
MN5180406,Lake Ridge Resort,Transient non-community system,Ground water,Crow Wing,-,25,3,0,6
MN5390060,Lake Road Chapel,Transient non-community system,Ground water,Lake of the Woods,-,50,3,0,7
MN5510026,Lake Sarah Baptist Church,Transient non-community system,Ground water,Murray,-,160,4,2,8
MN5510053,Lake Shetek Lodge & RCA,Transient non-community system,Ground water,Murray,-,30,6,3,6
MN5510042,Lake Shetek State Park,Transient non-community system,Ground water,Murray,-,25,23,6,11
MN5010318,Lake Shore Summer Breeze LLC,Transient non-community system,Ground water,Aitkin,-,25,5,0,5
MN5390090,Lake Trails Base Camp,Transient non-community system,Ground water,Lake of the Woods,-,25,4,18,16
MN5470122,Lake Union Evangelical Covenant Church,Transient non-community system,Ground water,Meeker,-,50,5,0,8
MN5090034,Lake Venoah Community,Transient non-community system,Ground water,Carlton,-,54,4,0,6
MN5690151,Lake Vermilion Houseboats,Transient non-community system,Ground water,St. Louis,-,25,3,0,5
MN5691199,Lake Vermilion State Park,Transient non-community system,Surface water,St. Louis,-,25,3,2,1
MN5210035,Lake Victoria Lodge Resort,Transient non-community system,Ground water,Douglas,-,50,6,0,5
MN5490069,Lake View Community Church,Transient non-community system,Ground water,Morrison,-,90,5,0,7
MN5040639,Lake View Resort,Transient non-community system,Ground water,Beltrami,-,25,3,0,5
MN5100095,Lake Waconia Event Center,Transient non-community system,Ground water,Carver,-,200,3,1,7
MN5100057,Lake Waconia Park,Transient non-community system,Ground water,Carver,-,25,3,0,8
MN5400288,Lake Washington County Park,Transient non-community system,Ground water,Le Sueur,-,30,3,0,1
MN5390087,Lake of The Woods Campground,Transient non-community system,Ground water,Lake of the Woods,-,50,9,0,7
MN5030257,Lakecrest Resort,Transient non-community system,Ground water,Becker,-,51,5,0,7
MN5470096,Lakedale Campground,Transient non-community system,Ground water,Meeker,-,50,3,0,7
MN5690895,Lakeland Baptist Church,Transient non-community system,Ground water,St. Louis,-,75,4,0,8
MN5690403,Lakeland Store,Transient non-community system,Ground water,St. Louis,-,75,5,0,9
MN5560609,Lakeland True Value and General Store,Transient non-community system,Ground water,Otter Tail,-,400,6,0,9
MN5310745,Lakeplace Retreat,Transient non-community system,Ground water,Itasca,-,40,7,0,8
MN5390089,"Lakeroad Lodge, Inc.",Transient non-community system,Ground water,Lake of the Woods,-,40,4,0,6
MN5181048,Lakes Area BMX,Transient non-community system,Ground water,Crow Wing,-,50,2,1,4
MN5130315,Lakes Area Canvas,Transient non-community system,Ground water,Chisago,-,25,4,1,9
MN5180635,Lakes Area Church of Christ,Transient non-community system,Ground water,Crow Wing,-,50,4,4,9
MN5290488,Lakes Area Vineyard Church,Transient non-community system,Ground water,Hubbard,-,100,4,0,5
MN5030516,Lakes Area Vineyard Church,Transient non-community system,Ground water,Becker,-,250,3,0,5
MN5560237,Lakes Veterinary Hospital,Transient non-community system,Ground water,Otter Tail,-,25,3,2,11
MN5060024,Lakeshore RV Park,Transient non-community system,Ground water,Big Stone,-,100,3,0,6
MN5770204,Lakeshore Resort,Transient non-community system,Ground water,Todd,-,50,9,0,5
MN5180886,Lakeside Acres R.V. Park,Transient non-community system,Ground water,Crow Wing,-,65,4,0,5
MN5300217,Lakeside Christian Church,Transient non-community system,Ground water,Isanti,-,100,3,0,7
MN5740227,"Lakeside Foods, Inc. - Grass Camp",Transient non-community system,Ground water,Steele,-,60,6,5,8
MN5770145,Lakeside Haven,Transient non-community system,Ground water,Todd,-,25,5,3,4
MN5330051,Lakeside Manor,Transient non-community system,Ground water,Kanabec,-,65,5,0,7
MN5480227,Lakeside Manor HOA of Mille Lacs County,Transient non-community system,Ground water,Mille Lacs,-,25,4,0,1
MN5400245,Lakeside Supper Club,Transient non-community system,Ground water,Le Sueur,-,70,4,0,3
MN5560060,Lakeside on Lida,Transient non-community system,Ground water,Otter Tail,-,100,3,0,7
MN5260040,Lakeview Assembly of God,Transient non-community system,Ground water,Grant,-,35,4,0,6
MN5010353,Lakeview Inn,Transient non-community system,Ground water,Aitkin,-,25,3,1,4
MN5300054,Lakeview Park Resort,Transient non-community system,Ground water,Isanti,-,25,5,2,7
MN5600164,Lakeview Resort,Transient non-community system,Ground water,Polk,-,150,10,1,7
MN5400259,Lakeview Resort,Transient non-community system,Ground water,Le Sueur,-,120,3,0,4
MN5470069,Lakewood Campground,Transient non-community system,Ground water,Meeker,-,100,7,1,7
MN5270886,Lakewood Cemetery,Transient non-community system,Ground water,Hennepin,-,45,3,0,10
MN5690349,Lakewood Community Center,Transient non-community system,Ground water,St. Louis,-,25,3,0,9
MN5180790,Lakewood Court,Transient non-community system,Ground water,Crow Wing,-,25,3,0,6
MN5310708,Lakewood Lodge,Transient non-community system,Ground water,Itasca,-,50,9,0,7
