PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
NY2902833,LOCUST VALLEY WD,Community water system,Ground water,Nassau,"MILL NECK (V), OYSTER BAY (T)",7500,17,2,5
NY3903647,LONDON BRIDGE WATER WORKS,Community water system,Ground water,Putnam,CARMEL (T),288,5,8,11
NY4505645,LONDON SQUARE APARTMENTS,Community water system,Ground water,Saratoga,CLIFTON PARK (T),640,12,40,10
NY0400876,LONG ACRES MOBILE HOME PARK,Community water system,Ground water,Cattaraugus,ALLEGANY (T),86,5,0,14
NY2902834,LONG BEACH CITY,Community water system,Ground water,Nassau,LONG BEACH (C),35000,17,4,5
NY5203331,LONG EDDY WATER COMPANY,Community water system,Ground water,Sullivan,FREMONT (T),150,9,162,6
NY1030187,LONG LAKE ASSOCIATION,Community water system,Ground water,Columbia,ANCRAM (T),49,5,11,14
NY2000129,LONG LAKE WD,Community water system,Surface water,Hamilton,LONG LAKE (T),800,12,54,24
NY5203332,LOOMIS WD,Community water system,Ground water purchased,Sullivan,LIBERTY (T),200,14,15,6
NY1710675,LORDEN HEIGHTS,Community water system,Ground water,Fulton,BROADALBIN (T),20,3,62,14
NY3316125,LORDS HILL APARTMENTS,Community water system,Ground water,Onondaga,OTISCO (T),100,7,140,14
NY3503585,LORELEI WATER SUPPLY,Community water system,Ground water,Orange,WALLKILL (T),184,4,104,12
NY1030284,LOSEE MOBILE HOME PARK,Community water system,Ground water,Columbia,STUYVESANT (T),25,4,0,3
NY4501779,LOUDEN OAKS,Community water system,Ground water,Saratoga,WILTON (T),400,10,8,11
NY4501775,LOUGHBERRY MOBILE HOME PARK,Community water system,Ground water,Saratoga,WILTON (T),220,6,64,11
NY2430039,LOWVILLE (T) WD #1,Community water system,Surface water purchased,Lewis,LOWVILLE (T),350,5,36,4
NY2402365,LOWVILLE VILLAGE,Community water system,Surface water,Lewis,LOWVILLE (V),4000,12,34,10
NY5522155,LUCAS ESTATES WATER COMPANY,Community water system,Ground water,Ulster,ROCHESTER (T),70,4,38,6
NY5203356,LUCKY LAKE WTP,Community water system,Ground water,Sullivan,THOMPSON (T),60,6,6,12
NY3903714,LUDINGTONVILLE APTS,Community water system,Ground water,Putnam,KENT (T),40,3,80,12
NY2230085,LYME TOWN WD 1,Community water system,Surface water purchased,Jefferson,LYME (T),70,2,3,6
NY2235000,LYME TOWN WD 2,Community water system,Surface water purchased,Jefferson,LYME (T),400,3,0,5
NY3600599,LYNDONVILLE VILLAGE,Community water system,Surface water,Orleans,LYNDONVILLE (V),1418,6,5,12
NY0900215,LYON MOUNTAIN WATER DIST,Community water system,Ground water,Clinton,DANNEMORA (T),750,12,219,15
NY2402366,LYONS FALLS VILLAGE,Community water system,Ground water,Lewis,LYONS FALLS (V),850,5,15,2
NY1302136,M AND K MANUFACTURED HOUSING COMMUNITY,Community water system,Ground water,Dutchess,HYDE PARK (T),100,5,13,29
NY5405797,MACCORMICK SECURE CENTER,Community water system,Ground water,Tompkins,CAROLINE (T),50,8,4,14
NY0930204,MACEY LANE WATER DISTRICT,Community water system,Ground water purchased,Clinton,SCHUYLER FALLS (T),135,2,0,1
NY0400344,MACHIAS TOWN WATER DISTRICT,Community water system,Ground water,Cattaraugus,MACHIAS (T),700,13,2,9
NY2602378,MADISON VILLAGE,Community water system,Ground water,Madison,MADISON (V),410,6,25,13
NY4404389,MADRID WATER DISTRICT,Community water system,Ground water,St. Lawrence,MADRID (T),800,8,4,7
NY3907005,MAHOPAC HILLS SENIOR HOUSING,Community water system,Ground water,Putnam,CARMEL (T),48,5,0,7
NY3905707,MAHOPAC WATER CO,Community water system,Ground water,Putnam,CARMEL (T),540,8,2,11
NY5114323,MAIDSTONE PARK COTTAGES,Community water system,Ground water,Suffolk,EAST HAMPTON (V),34,6,7,16
NY5530041,MALDEN WATER DISTRICT,Community water system,Surface water purchased,Ulster,SAUGERTIES (T),470,4,6,5
NY1600008,MALONE V,Community water system,Ground water,Franklin,MALONE (V),13232,14,22,25
NY4501785,MALTA GARDENS APTS & MHP,Community water system,Ground water,Saratoga,MALTA (T),950,14,70,12
NY3430021,MANCHESTER CENTRAL WD,Community water system,Surface water purchased,Ontario,MANCHESTER (T),1000,7,5,5
NY3401160,MANCHESTER VILLAGE,Community water system,Surface water purchased,Ontario,MANCHESTER (V),1709,7,9,5
NY1330550,MANCHESTER WATER DISTRICT,Community water system,Ground water,Dutchess,LAGRANGE (T),1180,9,1,11
NY2902836,MANHASSET LAKEVILLE WD,Community water system,Ground water,Nassau,NORTH HEMPSTEAD (T),43000,67,384,5
NY2130045,MANION HEIGHTS W.D.,Community water system,Surface water purchased,Herkimer,GERMAN FLATTS (T),105,3,1,6
NY0310340,MANNS MOBILE COMMUNITY,Community water system,Ground water,Broome,MAINE (T),60,6,5,14
NY2202340,MANNSVILLE VILLAGE,Community water system,Groundwater under influence of surface water,Jefferson,MANNSVILLE (V),450,4,2,6
NY3530065,MANSION RIDGE WATER COMPANY,Community water system,Ground water,Orange,MONROE (T),276,4,0,13
