Country,% Access,Total water withdrawal per capita (m³ per person per year),Population,Conflict Count,Conflict Deaths,Conflict Death Rate,Homocide Count,Homocide Rate
South Sudan,58.67999977353772,59.92,12541973.0,70.0,1245.2857142857142,9.928945902576206,,
Spain,99.95000002807409,931.8,46080822.0,4.875,29.75,0.06456048027962696,587.0,1.4
Sri Lanka,82.48846153846154,628.9,20764217.0,215.25,2300.833333333333,11.080761356584425,2045.0,10.2
St-Lucia,94.52306356216283,252.1,185663.0,,,,44.0,26.2
St-Vincent and the Grenadines,93.2232186583802,85.11,109532.0,,,,36.0,33.0
Sudan,60.836000053928004,714.1,40702142.0,128.05555555555554,2549.444444444445,6.263661613790362,10028.0,24.2
Suriname,91.47274189792542,1268.3333333333333,545268.0,,,,79.0,16.7
Swaziland,56.52306880241331,995.5,1295506.0,,,,141.0,12.9
Sweden,100.0,374.1444444444445,9817348.0,,,,114.0,1.2
Switzerland,100.0,368.15714285714284,8340813.0,,,,89.0,1.2
Syria,87.99230819989398,797.6500000000002,,,,,,
Tajikistan,64.265216219115,1828.333333333333,8575498.0,6.0,28.714285714285715,0.3348410286409689,498.0,8.4
Tanzania,54.63846151403997,144.6,54309340.0,4.0,20.0,0.036826078166297,10357.0,24.5
Thailand,92.97307687928756,863.7,68059304.0,151.0,221.52941176470588,0.32549467706091423,6434.0,9.8
Timor,61.54286677732456,1148.0,,,,,,
Togo,55.17307695237986,29.54,7399873.0,93.0,436.0,5.891993011231409,627.0,10.9
Tonga,98.84997002835311,,106516.0,,,,1.0,1.0
Trinidad and Tobago,93.6423105317903,257.575,1362663.0,,,,547.0,41.1
Tunisia,91.08076855698842,288.0857142857143,11314621.0,6.0,67.5,0.5965732303362172,117.0,1.1
Turkey,93.82307700640872,587.325,79170742.0,85.33333333333333,341.3888888888889,0.4312058726049187,3305.0,4.9
Turkmenistan,59.63076935728896,5550.666666666668,5405729.0,,,,358.0,8.3
Turks and Caicos Islands,87.04542640519577,,,,,,3.0,10.7
Tuvalu,94.68068371071057,,,,,,,
Uganda,60.396154091586396,16.843333333333334,39671777.0,87.46153846153847,616.2307692307693,1.5533228300581783,11373.0,36.3
Ukraine,97.09090905145644,385.55,44728947.0,164.5,1509.25,3.374213124221323,4896.0,10.0
United Arab Emirates,99.66538515037749,777.575,9205852.0,1.0,1.0,0.010862655623835794,56.0,1.4
United Kingdom,100.0,199.51428571428573,64911680.0,1.6666666666666667,7.0,0.010783883578425331,1220.0,2.1
United States,98.85384616571883,1945.6,322947900.0,2.0,1500.0,0.4644712041787546,14990.0,5.0
United States Virgin Islands,100.0,,,,,,,
Uruguay,97.26922830018142,668.2,3438237.0,,,,231.0,6.9
Uzbekistan,88.55652142829544,2331.333333333333,30102037.0,8.666666666666666,116.66666666666669,0.3875706706050048,1157.0,5.0
Vanuatu,78.81157035707612,,267568.0,,,,2.0,0.9
Venezuela,91.33461542225314,502.8,,,,,,
Vietnam,80.696153798886,776.6999999999998,93953138.0,,,,1346.0,1.6
Yemen,59.48260856687497,188.73333333333332,,,,,990.0,4.6
Zambia,56.03076843476894,173.16666666666663,16462156.0,1.5,4.0,0.024298153899161203,4710.0,38.0
Zimbabwe,78.75769226658579,,15785496.0,6.7142857142857135,36.42857142857143,0.2307724219028115,1775.0,14.3
Brunei,,288.2,,,,,,
Arab Rep of Egypt,,,92456224.0,,,,,
The Bahamas,,,390416.0,,,,,
Brunei Darussalam,,,426057.0,,,,5.0,1.4
Cabo Verde,,,523774.0,,,,,
Caribbean,,,43345763.0,,,,,
Central America,,,173880011.0,,,,,
Central Asia,,,67813926.0,,,,,
Channel Islands,,,164078.0,,,,,
Hong Kong SAR-China,,,7317475.0,,,,69.0,1.0
Macao SAR China,,,592417.0,,,,42.0,9.7
Curacao,,,157925.0,,,,,
Dem Peoples Rep of Korea,,,25218790.0,,,,,
Dem Rep of Congo,,,78491334.0,,,,,
Federated States of Micronesia,,,104702.0,,,,,
French Guiana,,,272171.0,,,,58.0,29.8
FYR Macedonia,,,2080073.0,27.0,37.5,1.8028213432893945,70.0,3.5
The Gambia,,,2022910.0,,,,,
Guadeloupe,,,469518.0,,,,32.0,7.0
Islamic Republic of Iran,,,79583372.0,11.6,65.13333333333334,0.0818428921726681,2215.0,3.0
Kyrgyz Republic,,,5987493.0,,,,,
Lao PDR,,,6860103.0,2.8,18.6,0.27113295529236225,279.0,4.6
Martinique,,,396416.0,,,,23.0,5.8
Mayotte,,,243262.0,,,,,
Melanesia,,,9714547.0,,,,,
The Netherlands,,,16952509.0,,,,,
Polynesia,,,686939.0,,,,,
Reunion,,,863932.0,,,,,
RB-de-Venezuela,,,31312942.0,26.4,19.0,0.060677786200989986,14589.0,52.0
Rep of Korea,,,50402048.0,,,,,
Rep of Yemen,,,27156519.0,133.25,1415.833333333333,5.213603898693104,,
Russian Federation,,,143455266.0,173.61111111111111,723.0,0.5039898639900748,27343.0,18.9
Slovak Republic,,,5427798.0,,,,,
West Bank and Gaza,,,4731710.0,,,,,
Syrian Arab Rep,,,18498701.0,,,,533.0,2.8
Timor-Leste,,,1198274.0,,,,75.0,6.9
US Virgin Islands,,,106365.0,,,,43.0,39.2
Anguilla,,,,,,,4.0,28.6
Bermuda,,,,,,,8.0,12.3
Democratic People's Republic of Korea,,,,,,,3658.0,15.2
Democratic Republic of the Congo,,,,,,,13558.0,21.7
Liechtenstein,,,,,,,1.0,3.1
Montserrat,,,,,,,2.0,29.6
Occupied Palestinian Territory,,,,,,,145.0,4.4
Republic of Korea,,,,,,,1374.0,2.9
